Новый: Время (с)	Новый: Угол (rad)	Новый: Скорость (rad/с)	Новый: Ускорение (rad/с?)
0	0	0	-0.421249221
0.05	0	-0.01454441	-0.59685951
0.1	0	-0.040724349	-0.835495577
0.15	0	-0.126051557	-0.660962652
0.2	-0.017453293	-0.135747831	-0.037169049
0.25	-0.017453293	-0.077570189	-0.375999944
0.3	-0.017453293	-0.145444104	-1.594498329
0.35	-0.034906585	-0.203621746	-4.093982196
0.4	-0.034906585	-0.397547219	-9.906359551
0.45	-0.052359878	-1.076286372	-18.16435259
0.5	-0.122173048	-2.239839207	-26.03449468
0.55	-0.261799388	-3.771850439	-31.85225885
0.6	-0.488692191	-5.555964786	-34.8096223
0.65	-0.820304748	-7.330382858	-36.07013787
0.7	-1.221730476	-9.124193478	-38.10096852
0.75	-1.727875959	-11.05375193	-42.02795933
0.8	-2.321287905	-13.20632467	-47.59792985
0.85	-3.019419606	-15.89219247	-50.13512145
0.9	-3.892084232	-18.78168201	-41.27380472
0.95	-4.956735076	-20.48822616	-23.21718851
1	-6.003932627	-20.88577338	-8.554268062
1.05	-7.051130178	-20.94395102	-1.777650163
1.1	-8.098327729	-20.90516593	0.517134594
1.15	-9.14552528	-20.81789947	0.511747775
1.2	-10.17526954	-20.81789947	-0.301661847
1.25	-11.22246709	-20.89546966	-0.33398276
1.3	-12.26966464	-20.89546966	0.377077306
1.35	-13.31686219	-20.81789947	0.495587317
1.4	-14.34660645	-20.80820319	-0.016160456
1.45	-15.393804	-20.86638084	0.177765017
1.5	-16.44100155	-20.79850692	0.495587321
1.55	-17.47074581	-20.77911437	0.177765021
1.6	-18.51794336	-20.77911437	-0.172378195
1.65	-19.54768762	-20.79850692	-0.452492771
1.7	-20.59488517	-20.86638083	0.037707726
1.75	-21.64208272	-20.79850692	0.635644601
1.8	-22.67182698	-20.7694181	0.614097328
1.85	-23.71902453	-20.74032928	0.495587319
1.9	-24.74876879	-20.68215164	-0.253180475
1.95	-25.77851305	-20.7694181	-0.79186234
2	-26.8257106	-20.84698829	0.150830926
2.05	-27.87290815	-20.75972182	1.152779193
2.1	-28.90265241	-20.65306282	0.781088703
2.15	-29.93239667	-20.64336654	-0.339369578
2.2	-30.96214093	-20.730633	-0.743380975
2.25	-32.00933848	-20.75972183	-0.280114567
2.3	-33.03908274	-20.75972182	0.328595942
2.35	-34.08628029	-20.730633	0.958853721
2.4	-35.11602455	-20.63367027	0.95885372
2.45	-36.14576881	-20.60458145	0.333982758
2.5	-37.17551307	-20.60458145	-0.247793655
2.55	-38.20525733	-20.63367027	-0.592550051
2.6	-39.23500158	-20.71124046	-0.016160458
2.65	-40.28219914	-20.68215164	1.265902386
2.7	-41.31194339	-20.50761871	1.120458286
2.75	-42.32423436	-20.48822616	-0.484813679
2.8	-43.35397862	-20.59488517	-1.405959676
2.85	-44.38372288	-20.71124046	-0.74338098
2.9	-45.43092043	-20.71124046	0.786475526
2.95	-46.46066469	-20.59488517	1.589111512
3	-47.49040895	-20.47852989	0.958853727
3.05	-48.50269991	-20.46883362	-0.301661847
3.1	-49.53244417	-20.55610008	-0.73799416
3.15	-50.56218843	-20.5851889	-0.280114569
3.2	-51.59193269	-20.5851889	0.328595942
3.25	-52.62167695	-20.55610008	0.958853723
3.3	-53.65142121	-20.45913734	0.958853724
3.35	-54.66371217	-20.43004852	0.32859594
3.4	-55.69345643	-20.43004852	-0.285501391
3.45	-56.7057474	-20.45913734	-0.775701889
3.5	-57.73549166	-20.54640381	-0.48481368
