"Новый: Время (с)";"Новый: Угол (rad)";"Новый: Скорость (rad/с)";"Новый: Ускорение (rad/с²)"
0;0;-0.116355283467;-3.51543786992
0.05;0;-0.276343798233;-3.81332894286
0.1;-0.01745329252;-0.500327718906;-3.89305385931
0.15;-0.0523598775599;-0.688435427176;-3.53967855396
0.2;-0.0872664625998;-0.862968352376;-2.97190786518
0.25;-0.13962634016;-0.998716183083;-2.32926039678
0.3;-0.191986217719;-1.05689382482;-2.74727752631
0.35;-0.244346095279;-1.16355283466;-5.48378141525
0.4;-0.296705972839;-1.52231495869;-10.0087091056
0.45;-0.383972435439;-2.17196529137;-14.5605708894
0.5;-0.506145483078;-3.02523737013;-18.2289944098
0.55;-0.680678408278;-4.03364982684;-21.1271028591
0.6;-0.907571211037;-5.12932874616;-24.1652685939
0.65;-1.18682389136;-6.39954059066;-28.1084198666
0.7;-1.53588974176;-7.93155182291;-32.180854788
0.75;-1.97222205475;-9.65748852766;-35.3806250839
0.8;-2.49582083035;-11.5288693368;-37.1259543359
0.85;-3.12413936107;-13.4390352404;-36.9212552257
0.9;-3.83972435439;-15.320112323;-33.9423444963
0.95;-4.66002910282;-17.0266564805;-26.7132338294
1;-5.56760031386;-18.1611204944;-16.1604560373
1.05;-6.51007810994;-18.5683639865;-6.98131700794
1.1;-7.4351026135;-18.6556304491;-1.98234927406
1.15;-8.37758040957;-18.6459341755;-0.0269340941264
1.2;-9.30260491313;-18.5780602602;-0.107736373867
1.25;-10.2276294167;-18.6459341756;-0.641031421194
1.3;-11.1701072128;-18.6750229962;-0.608710509034
1.35;-12.0951317163;-18.704111817;-0.45787958838
1.4;-13.0376095124;-18.7622894591;0.441719131812
1.45;-13.9800873085;-18.6653267226;1.29822330289
1.5;-14.905111812;-18.5586677127;0.813409620423
1.55;-15.8301363156;-18.5489714391;-0.333982759568
1.6;-16.7551608191;-18.6362379018;-0.7487678
1.65;-17.6976386152;-18.6653267231;-0.317822304475
1.7;-18.6226631188;-18.6653267231;0.145444106945
1.75;-19.5651409149;-18.6459341754;0.484813685031
1.8;-20.4901654184;-18.5780602599;0.145444106018
1.85;-21.415189922;-18.6362379016;-0.161604561019
1.9;-22.357667718;-18.6362379017;0.20469910679
1.95;-23.2826922216;-18.5780602604;0.0377077298767
2;-24.2077167252;-18.6362379018;-0.0107736363886
2.05;-25.1501945212;-18.6265416282;0.667965514475
2.1;-26.0752190248;-18.539275166;0.813409620432
2.15;-27.0002435284;-18.5101863448;0.296275029815
2.2;-27.9252680319;-18.5101863447;-0.290888207315
2.25;-28.8502925355;-18.5392751655;-0.775701889877
2.3;-29.775317039;-18.6265416281;-0.484813683179
2.35;-30.7177948351;-18.6265416285;0.490200499259
2.4;-31.6428193387;-18.5392751656;0.813409622407
2.45;-32.5678438422;-18.5101863447;0.47404004503
2.5;-33.4928683458;-18.500490071;0.177765016883
2.55;-34.4178928493;-18.500490071;0.00538681799423
2.6;-35.3429173529;-18.5004900711;-0.140057287314
2.65;-36.2679418564;-18.5101863448;-0.290888211142
2.7;-37.19296636;-18.5295788924;-0.339369576389
2.75;-38.1179908636;-18.5877565337;0.323209123179
2.8;-39.0604686596;-18.5004900711;0.980401000278
2.85;-39.9680398707;-18.4132236085;0.323209121049
2.9;-40.8930643742;-18.4714012502;-0.339369577068
2.95;-41.8180888778;-18.4907937974;-0.290888210154
3;-42.7431133813;-18.5004900712;-0.140057288303
3.05;-43.6681378849;-18.5004900716;0.00538681867281
3.1;-44.5931623885;-18.5004900712;0.177765019012
3.15;-45.518186892;-18.4907937974;0.474040045062
3.2;-46.4432113956;-18.4617049766;0.813409620463
3.25;-47.3682358991;-18.3744385141;0.490200499414
3.3;-48.2758071102;-18.3744385141;-0.484813680525
3.35;-49.2008316137;-18.4617049766;-0.775701888889
3.4;-50.1258561173;-18.4907937974;-0.290888208333
3.45;-51.0508806208;-18.4907937974;0.296275027006
3.5;-51.9759051244;-18.4617049766;0.813409619599
3.55;-52.9009296279;-18.3744385141;0.667965515401
3.6;-53.808500839;-18.3647422404;-0.010773637531
3.65;-54.7335253425;-18.4229198821;0.0377077298766
3.7;-55.6585498461;-18.3647422405;0.204699107901
3.75;-56.5661210571;-18.3647422406;-0.102349556667
3.8;-57.4911455607;-18.4229198826;0.791862347469
3.85;-58.4161700643;-18.3550459668;4.37948359096
3.9;-59.3237412753;-18.2289944093;15.3308859619
3.95;-60.2487657788;-17.4920776143;40.1210255193
4;-61.1563369899;-14.8449949156;74.6235991595
4.05;-61.8893752757;-9.26963758267;92.8687540251
4.1;-62.0639082009;-3.91729454339;78.7499022663
4.15;-62.1511746635;-0.969627362389;52.9254935199
4.2;-62.133721371;1.01810873006;31.5829179164
4.25;-62.0115483234;1.96834354544;15.9072755605
4.3;-61.9068285682;2.28832057494;7.83782117568
4.35;-61.7846555206;2.52103114139;4.69191906827
4.4;-61.662482473;2.81191935022;1.03426918969
4.45;-61.4879495478;2.78283052983;-5.78544325855
4.5;-61.3657765001;2.30771312228;-14.8999404667
4.55;-61.2436034525;1.41565594889;-27.1549529624
4.6;-61.1912435749;-0.271495661444;-42.5720280214
4.65;-61.2436034525;-2.74404543522;-59.2065241006
4.7;-61.4181363777;-6.27348903339;-71.7793588986
4.75;-61.8195621056;-10.6659009846;-68.0516803743
4.8;-62.535147099;-14.0014191109;-45.7556378576
4.85;-63.3205452624;-15.3007197758;-21.1163292158
4.9;-64.1059434258;-15.5431266159;-6.94360927349
4.95;-64.8738882966;-15.5819117103;-2.05776473713
5;-65.65928646;-15.6594818997;-0.608710514846
5.05;-66.4446846234;-15.6594818999;0.323209117654
5.1;-67.2300827868;-15.5819117111;0.344756394012
5.15;-67.9980276577;-15.5819117111;-0.339369576574
5.2;-68.7834258211;-15.6594818999;-0.307048664167
5.25;-69.5688239845;-15.6594818999;0.527908230988
5.3;-70.3542221479;-15.5722154374;0.818796440988
5.35;-71.1221670188;-15.5431266164;0.468653229198
5.4;-71.9075651822;-15.5334303423;0.150830925648
5.45;-72.675510053;-15.5334303423;-0.113123194939
5.5;-73.4609082164;-15.5431266164;-0.317822306358
5.55;-74.2288530873;-15.5625191638;-0.457879589845
5.6;-75.0142512507;-15.6303930791;0.317822301173
5.65;-75.7996494141;-15.5625191638;2.41329476818
5.7;-76.567594285;-15.4849489748;7.82166072333
5.75;-77.3529924484;-15.1358831243;21.3964437958
5.8;-78.1209373193;-13.7881010905;43.8379304111
5.85;-78.8016157275;-10.8501301831;66.9258352667
5.9;-79.2728546256;-6.52559214783;76.5466934286
5.95;-79.4648408433;-2.10409137583;63.2412512921
6;-79.3950276732;0.523598775722;34.890424583
6.05;-79.3077612106;0.998716183056;12.6536370761
6.1;-79.2903079181;1.05689382483;4.47105950321
6.15;-79.220494748;1.27990811822;1.34131784904
6.2;-79.1506815779;1.29930066506;-2.84962708253
6.25;-79.0808684079;1.08598264544;-9.64240543281
6.3;-79.0285085303;0.494509954833;-21.5311142563
6.35;-79.0110552378;-0.6981317005;-43.7140335785
6.4;-79.0634151153;-3.12220010606;-82.138211219
6.45;-79.220494748;-8.15456611622;-131.427602133
6.5;-79.6742803535;-17.1139229433;-158.620262825
6.55;-80.8785575374;-26.8295891129;-129.315969209
6.6;-82.6064334969;-31.7552961129;-64.7226264265
6.65;-84.2644962863;-32.2401097939;-16.7152983582
6.7;-85.8352926131;-31.8619551224;0.328595941635
6.75;-87.4235422324;-31.716511018;2.84424026281
6.8;-89.0117918517;-31.5807631874;2.26246384395
6.85;-90.5825881785;-31.4741041777;1.05042964142
6.9;-92.1533845053;-31.4644079041;-0.13467046713
6.95;-93.7241808321;-31.5419780929;-0.307048665865
7;-95.3124304514;-31.5419780931;0.350143210957
7.05;-96.8832267782;-31.4644079043;0.344756391606
7.1;-98.454023105;-31.4644079049;-0.344756392715
7.15;-100.024819432;-31.5419780928;-0.344756388951
7.2;-101.613069051;-31.5419780927;0.350143213733
7.25;-103.183865378;-31.464407905;0.377077315463
7.3;-104.754661705;-31.4644079017;-0.193925475184
7.35;-106.325458031;-31.5322818194;-0.016160484629
7.4;-107.913707651;-31.5128892761;0.867277809567
7.45;-109.484503978;-31.3674451678;0.495587351542
7.5;-111.037847012;-31.4256228067;-0.50636095
7.55;-112.626096631;-31.5031929978;-0.140057309259
7.6;-114.196892958;-31.4450153589;0.377077298149
7.65;-115.767689285;-31.4256228111;0.296275054938
7.7;-117.338485612;-31.4159265328;0.145444126234
7.75;-118.909281938;-31.4159265328;0.0323208848768
7.8;-120.480078265;-31.4159265378;0.0107736012357
7.85;-122.050874592;-31.4159265389;0.0377077317907
7.9;-123.621670919;-31.4159265378;0.183151876234
7.95;-125.192467246;-31.4062302589;0.479426901543
8;-126.763263572;-31.3771414372;0.851117346296
8.05;-128.334059899;-31.2898749772;0.67335230679
8.1;-129.887402933;-31.280178705;-0.0161604836418
8.15;-131.45819926;-31.3383563489;0.00538680833316
8.2;-133.028995587;-31.2801787056;0.0592550049388
8.25;-134.582338621;-31.2898749794;-0.452492781791
